date,home,away,home_score,away_score
2024-03-16,KC,POR,5,4
2024-03-16,LOU,ORL,2,2
2024-03-16,UTA,CHI,0,2
2024-03-16,NC,HOU,5,1
2024-03-17,RGN,WAS,1,0
2024-03-17,LA,BAY,0,1
2024-03-22,UTA,NC,2,1
2024-03-22,ORL,LA,1,1
2024-03-23,CHI,RGN,2,1
2024-03-23,WAS,BAY,2,1
2024-03-23,SD,KC,1,2
2024-03-23,HOU,LOU,0,0
2024-03-24,POR,GFC,0,1
2024-03-29,ORL,CHI,1,1
2024-03-29,SD,RGN,1,0
2024-03-30,KC,LA,4,2
2024-03-30,POR,LOU,2,2
2024-03-30,NC,GFC,1,0
2024-03-30,BAY,HOU,2,3
2024-03-31,WAS,UTA,2,1
2024-04-12,HOU,WAS,1,3
2024-04-12,UTA,ORL,0,1
2024-04-13,NC,POR,2,0
2024-04-13,LOU,SD,0,0
2024-04-13,CHI,LA,0,1
2024-04-14,GFC,KC,1,1
2024-04-14,BAY,RGN,3,2
2024-04-19,ORL,SD,1,0
2024-04-20,WAS,GFC,2,0
2024-04-20,LOU,UTA,5,1
2024-04-20,KC,BAY,5,2
2024-04-20,POR,HOU,4,1
2024-04-21,RGN,CHI,1,2
2024-04-21,LA,NC,2,1
2024-04-26,WAS,ORL,2,3
2024-04-26,LA,KC,1,3
2024-04-27,UTA,HOU,0,0
2024-04-27,CHI,POR,0,2
2024-04-27,NC,RGN,1,0
2024-04-27,SD,BAY,2,1
2024-04-28,GFC,LOU,1,1
2024-05-01,ORL,NC,4,1
2024-05-01,BAY,POR,2,3
2024-05-01,CHI,WAS,2,4
2024-05-03,RGN,SD,2,1
2024-05-03,UTA,LA,1,2
2024-05-04,GFC,NC,1,0
2024-05-04,POR,WAS,2,1
2024-05-05,HOU,KC,1,1
2024-05-05,ORL,LOU,1,0
2024-05-05,BAY,CHI,1,2
2024-05-08,SD,UTA,2,0
2024-05-08,RGN,KC,0,0
2024-05-08,HOU,GFC,0,1
2024-05-10,LOU,WAS,1,2
2024-05-11,ORL,BAY,1,0
2024-05-11,POR,RGN,4,0
2024-05-12,LA,HOU,0,1
2024-05-12,SD,GFC,1,1
2024-05-12,CHI,UTA,3,1
2024-05-12,KC,NC,1,0
2024-05-17,HOU,POR,0,2
2024-05-17,BAY,SD,2,1
2024-05-17,NC,UTA,1,0
2024-05-18,WAS,LA,4,2
2024-05-18,KC,LOU,3,3
2024-05-19,RGN,ORL,2,3
2024-05-19,GFC,CHI,2,1
2024-05-23,LA,SD,0,0
2024-05-24,ORL,POR,2,1
2024-05-24,WAS,RGN,3,2
2024-05-24,BAY,GFC,0,2
2024-05-24,HOU,NC,3,0
2024-05-25,CHI,LOU,0,1
2024-05-25,UTA,KC,0,1
2024-06-07,SD,ORL,1,1
2024-06-07,LOU,HOU,2,0
2024-06-08,GFC,LA,2,1
2024-06-08,UTA,WAS,0,1
2024-06-08,CHI,BAY,1,2
2024-06-08,POR,NC,1,0
2024-06-09,KC,RGN,5,2
2024-06-14,KC,CHI,2,2
2024-06-15,LOU,GFC,0,2
2024-06-15,WAS,SD,1,1
